Ticker,Company name
C31.SI,C31.SI
T39.SI,Singapore Press Holdings Limited
Z74.SI,Singapore Telecommunications Limited
A17U.SI,Ascendas Real Estate Investment Trust
C38U.SI,CapitaLand Integrated Commercial Trust
C07.SI,Jardine Cycle & Carriage Limited
D01.SI,Dairy Farm International Holdings Limited
S63.SI,Singapore Technologies Engineering Ltd
BN4.SI,Keppel Corporation Limited
O39.SI,Oversea-Chinese Banking Corporation Limited
S68.SI,Singapore Exchange Limited
V03.SI,Venture Corporation Limited
N2IU.SI,Mapletree Commercial Trust
M44U.SI,Mapletree Logistics Trust
U14.SI,UOL Group Limited
C52.SI,ComfortDelGro Corporation Limited
C6L.SI,Singapore Airlines Limited
C61U.SI,C61U.SI
Y92.SI,Thai Beverage Public Company Limited
U11.SI,United Overseas Bank Limited
F34.SI,Wilmar International Limited
H78.SI,Hongkong Land Holdings Limited
C09.SI,City Developments Limited
G13.SI,Genting Singapore Limited
U96.SI,Sembcorp Industries Ltd
D05.SI,DBS Group Holdings Ltd
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.
J36.SI,Jardine Matheson Holdings Limited
S58.SI,SATS Ltd.
J37.SI,J37.SI
